GAW,GAW10,GAW20,Std_Degree,node_amt_total_in,node_amt_min_in,node_amt_max_in,node_amt_mean_in,node_amt_median_in,node_amt_std_in,node_deg_in,node_deg_in_unique,node_amt_total_out,node_amt_min_out,node_amt_max_out,node_amt_mean_out,node_amt_median_out,node_amt_std_out,node_deg_out,node_deg_out_unique,node_deg_total,max_account_balance,min_account_balance,starting_balance,ending_balance,max_balance_shift,limit_balance_shift,id,node_isSar
2.512497013192562,0.0,0.0,0.4439538029097183,78219.07,101.5,998.05,528.5072297297298,491.1,289.43203336931896,148.0,6.0,57101.92999999999,121.35,997.59,554.3876699029125,553.86,270.86845143881544,103.0,8.0,251.0,112260.76999999999,69704.23,69998.79,91115.92999999998,42556.53999999999,-21117.139999999985,0.0,0.0
0.0,0.0,0.0,0.39992070803825785,5397.5199999999995,103.85,980.73,539.752,568.275,260.42550012623576,10.0,5.0,53003.689999999995,102.78,981.49,514.598932038835,453.59,268.4770616620073,103.0,8.0,113.0,93234.73,45628.55999999994,93234.73,45628.55999999994,47606.17000000006,47606.17000000006,1.0,0.0
0.0,0.0,0.0,3.0859394951973464,225176.69,21.23,999.14,517.6475632183908,518.16,262.4405074618259,435.0,24.0,113036.28,105.96,998.84,554.0994117647059,552.24,267.4839986503262,204.0,50.0,639.0,199864.23999999996,77066.12,77066.12,189206.52999999994,122798.11999999997,-112140.40999999995,2.0,0.0
0.0,0.0,0.0,3.1299725900688067,157198.47,102.43,997.01,559.4251601423488,574.31,264.07251414210117,281.0,24.0,111037.79000000001,104.86,996.9,536.4144444444445,546.15,258.3488309695608,207.0,51.0,488.0,120470.66000000013,71234.97,71972.44,118133.12000000016,49235.69000000013,-46160.68000000015,3.0,1.0
0.0,0.0,0.0,3.1299725900688067,65339.37,101.05,992.84,531.2143902439025,520.81,264.8860744072291,123.0,23.0,115854.20999999999,101.52,999.22,562.3990776699029,556.4,251.31587619912082,206.0,52.0,329.0,75863.83999999998,23302.31999999998,75515.07,25000.229999999974,52561.520000000004,50514.84000000003,4.0,0.0
0.0,0.0,0.0,7.533282077214853,518705.62,5.33,999.63,536.4070527404343,524.01,252.09052961939136,967.0,72.0,120394.76999999999,101.65,995.97,584.4406310679611,616.9300000000001,267.4299774536577,206.0,103.0,1173.0,451443.60000000003,52923.09,52923.09,451233.94000000006,398520.51,-398310.8500000001,5.0,0.0
0.0,0.0,0.0,7.797480646443615,574711.23,7.58,999.51,529.6877695852535,534.58,262.97536857550284,1085.0,78.0,121266.18,108.41,997.74,591.5423414634146,620.34,260.1949093264424,205.0,103.0,1290.0,532389.5000000002,78944.45,78944.45,532389.5000000002,453445.0500000002,-453445.0500000002,6.0,0.0
0.0,0.0,0.0,7.841513741315076,746454.69,45.91,999.89,540.9091956521738,540.8050000000001,261.8075443773608,1380.0,79.0,108872.20999999999,103.11,992.98,528.5058737864077,529.5350000000001,250.94084755343926,206.0,103.0,1586.0,708603.8899999988,70344.43,70344.43,707926.9099999989,638259.4599999988,-637582.4799999988,7.0,0.0
0.0,0.0,0.0,7.709414456700695,307100.49,40.42,996.3,531.3157266435986,516.23,267.8756344682604,578.0,76.0,116343.84,105.57,997.92,567.5309268292683,581.82,251.83276705495578,205.0,103.0,783.0,243891.21000000008,51698.17,51698.17,242454.8200000001,192193.0400000001,-190756.65000000008,8.0,0.0
0.0,0.0,0.0,7.929579931057997,467457.21,100.07,999.27,542.9235888501743,540.41,262.0434464695555,861.0,81.0,108387.9,104.86,998.75,526.154854368932,482.935,269.12625066647496,206.0,103.0,1067.0,444934.8100000009,85599.49,85599.49,444668.8000000009,359335.32000000094,-359069.3100000009,9.0,0.0
0.0,0.0,0.0,10.351400148988322,1000922.3099999999,0.76,998.31,551.1686729074889,560.0250000000001,262.48186913145685,1816.0,136.0,107589.37000000001,104.69,997.61,522.2784951456312,513.4449999999999,257.368914618322,206.0,103.0,2022.0,953215.7299999987,59642.17,59642.17,952975.1099999987,893573.5599999987,-893332.9399999987,10.0,0.0
0.0,0.0,0.0,10.307367054116861,986632.64,15.15,998.53,546.6108808864266,543.9,261.8919804748961,1805.0,135.0,115677.37,109.59,998.32,564.2798536585366,576.65,279.52006301302924,205.0,103.0,2010.0,952809.2899999979,81854.02,81854.02,952809.2899999979,870955.2699999979,-870955.2699999979,11.0,0.0
0.0,0.0,0.0,10.835764192574388,1271993.27,18.5,999.99,544.2846683782627,543.96,263.37461049531566,2337.0,147.0,111625.66,108.23,997.75,541.8721359223301,564.725,258.3336034400318,206.0,103.0,2543.0,1243366.9799999993,82999.37,82999.37,1243366.9799999993,1160367.6099999994,-1160367.6099999994,12.0,0.0
0.0,0.0,0.0,10.307367054116861,855224.96,0.56,998.2,542.9999746031746,550.26,255.52771810683913,1575.0,135.0,116059.72,100.81,996.6,566.1449756097561,583.73,256.9766692753034,205.0,103.0,1780.0,796400.1699999992,57234.93,57234.93,796400.1699999992,739165.2399999992,-739165.2399999992,13.0,0.0
0.0,0.0,0.0,10.879797287445848,1310431.54,5.51,999.69,546.4685321100918,546.0,265.12203870658703,2398.0,149.0,114552.51999999999,111.77,994.59,561.5319607843137,584.4200000000001,258.5060739702041,204.0,102.0,2602.0,1251566.9299999976,55687.91,55687.91,1251566.9299999976,1195879.0199999977,-1195879.0199999977,14.0,0.0
0.0,0.0,0.0,10.659631813088545,1067340.44,3.88,998.89,539.0608282828283,540.115,260.8728313955366,1980.0,143.0,111619.70999999999,100.32,996.5,544.4863902439024,520.69,265.02961709625805,205.0,103.0,2185.0,1046422.6999999998,90701.97,90701.97,1046422.6999999998,955720.7299999999,-955720.7299999999,15.0,0.0
0.0,0.0,0.0,13.257584410504714,1419332.65,7.81,999.84,540.6981523809524,530.38,258.9504529423775,2625.0,202.0,111034.56999999998,109.64,993.74,539.0027669902912,542.75,251.76467633123005,206.0,103.0,2831.0,1371145.179999999,62847.1,62847.1,1371145.179999999,1308298.079999999,-1308298.079999999,16.0,0.0
0.0,0.0,0.0,13.565816074604937,1589753.2599999998,9.03,999.87,535.9923331085637,525.605,260.4995766318489,2966.0,209.0,112694.57999999999,109.25,993.6,547.061067961165,558.155,244.1661279491781,206.0,103.0,3172.0,1575133.9899999988,97084.04,97084.04,1574142.7199999988,1478049.9499999988,-1477058.6799999988,17.0,0.0
