birthPlaceCountry,countryOfIncorporation,countryOfResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,US,,,,,,,,,,,US,,,1,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,5,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,8,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,10,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,12,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,13,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,15,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,19,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,20,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,24,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,26,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,28,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,29,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,31,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,32,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,33,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,37,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,38,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,41,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,43,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,44,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,45,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,49,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,54,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,62,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,64,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,67,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,69,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,73,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,77,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,79,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,80,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,85,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,87,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,88,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,91,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,95,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,96,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,98,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,101,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,103,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,104,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,105,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,110,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,113,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,117,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,118,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,121,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,122,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,124,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,127,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,128,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,129,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,131,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,132,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,133,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,135,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,137,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,138,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,139,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,140,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,142,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,143,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,145,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,148,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,151,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,153,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,154,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,155,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,163,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,165,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,168,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,170,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,174,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,175,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,178,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,179,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,182,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,183,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,184,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,185,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,186,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,187,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,188,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,190,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,192,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,194,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,195,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,196,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,198,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,199,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,200,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,201,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,203,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,206,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,207,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,210,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,211,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,212,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,215,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,217,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,220,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,222,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,226,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,227,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,228,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,229,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,231,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,232,Organization,,,,,,,,,,,,,,False
