alert_id,alert_type,acct_id,acct_name,is_sar,model_id,start,end,schedule_id,bank_id
0,fan_in,28,28,True,2,0,1000000,2,bank
0,fan_in,14342,14342,True,2,0,1000000,2,bank
0,fan_in,3395,3395,True,2,0,1000000,2,bank
0,fan_in,14122,14122,True,2,0,1000000,2,bank
0,fan_in,3681,3681,True,2,0,1000000,2,bank
1,fan_in,159,159,True,2,0,1000000,2,bank
1,fan_in,12800,12800,True,2,0,1000000,2,bank
1,fan_in,13654,13654,True,2,0,1000000,2,bank
1,fan_in,3551,3551,True,2,0,1000000,2,bank
1,fan_in,1509,1509,True,2,0,1000000,2,bank
1,fan_in,10943,10943,True,2,0,1000000,2,bank
1,fan_in,8004,8004,True,2,0,1000000,2,bank
1,fan_in,12858,12858,True,2,0,1000000,2,bank
1,fan_in,7646,7646,True,2,0,1000000,2,bank
2,fan_in,723,723,True,2,0,1000000,2,bank
2,fan_in,2246,2246,True,2,0,1000000,2,bank
2,fan_in,8053,8053,True,2,0,1000000,2,bank
2,fan_in,4296,4296,True,2,0,1000000,2,bank
2,fan_in,15393,15393,True,2,0,1000000,2,bank
2,fan_in,15827,15827,True,2,0,1000000,2,bank
3,fan_in,23,23,True,2,0,1000000,2,bank
3,fan_in,6199,6199,True,2,0,1000000,2,bank
3,fan_in,12447,12447,True,2,0,1000000,2,bank
3,fan_in,10568,10568,True,2,0,1000000,2,bank
3,fan_in,3179,3179,True,2,0,1000000,2,bank
3,fan_in,2680,2680,True,2,0,1000000,2,bank
3,fan_in,2807,2807,True,2,0,1000000,2,bank
3,fan_in,8489,8489,True,2,0,1000000,2,bank
3,fan_in,11686,11686,True,2,0,1000000,2,bank
4,fan_in,459,459,True,2,0,1000000,2,bank
4,fan_in,15281,15281,True,2,0,1000000,2,bank
4,fan_in,14801,14801,True,2,0,1000000,2,bank
4,fan_in,11634,11634,True,2,0,1000000,2,bank
4,fan_in,1488,1488,True,2,0,1000000,2,bank
4,fan_in,2567,2567,True,2,0,1000000,2,bank
5,fan_in,280,280,True,2,0,1000000,2,bank
5,fan_in,8521,8521,True,2,0,1000000,2,bank
5,fan_in,11426,11426,True,2,0,1000000,2,bank
5,fan_in,13926,13926,True,2,0,1000000,2,bank
5,fan_in,6313,6313,True,2,0,1000000,2,bank
5,fan_in,10599,10599,True,2,0,1000000,2,bank
5,fan_in,15578,15578,True,2,0,1000000,2,bank
5,fan_in,13928,13928,True,2,0,1000000,2,bank
6,fan_in,313,313,True,2,0,1000000,2,bank
6,fan_in,4491,4491,True,2,0,1000000,2,bank
6,fan_in,14743,14743,True,2,0,1000000,2,bank
6,fan_in,14278,14278,True,2,0,1000000,2,bank
6,fan_in,14899,14899,True,2,0,1000000,2,bank
7,fan_in,341,341,True,2,0,1000000,2,bank
7,fan_in,9886,9886,True,2,0,1000000,2,bank
7,fan_in,1283,1283,True,2,0,1000000,2,bank
7,fan_in,11181,11181,True,2,0,1000000,2,bank
7,fan_in,2291,2291,True,2,0,1000000,2,bank
7,fan_in,9287,9287,True,2,0,1000000,2,bank
8,fan_in,67,67,True,2,0,1000000,2,bank
8,fan_in,1432,1432,True,2,0,1000000,2,bank
8,fan_in,11001,11001,True,2,0,1000000,2,bank
8,fan_in,3068,3068,True,2,0,1000000,2,bank
8,fan_in,7859,7859,True,2,0,1000000,2,bank
8,fan_in,4625,4625,True,2,0,1000000,2,bank
8,fan_in,12704,12704,True,2,0,1000000,2,bank
