birthPlaceCountry,countryofResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,,,1,,,,,,,,US,,,0,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,2,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,3,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,4,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,6,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,7,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,9,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,11,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,14,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,16,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,17,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,18,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,21,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,22,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,23,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,25,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,27,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,30,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,34,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,35,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,36,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,39,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,40,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,42,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,46,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,47,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,48,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,50,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,51,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,52,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,53,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,55,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,56,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,57,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,58,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,59,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,60,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,61,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,63,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,65,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,66,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,68,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,70,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,71,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,72,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,74,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,75,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,76,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,78,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,81,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,82,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,83,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,84,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,86,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,89,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,90,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,92,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,93,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,94,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,97,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,99,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,100,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,102,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,106,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,107,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,108,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,109,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,111,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,112,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,114,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,115,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,116,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,119,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,120,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,123,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,125,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,126,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,130,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,134,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,136,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,141,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,144,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,146,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,147,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,149,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,150,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,152,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,156,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,157,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,158,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,159,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,160,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,161,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,162,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,164,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,166,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,167,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,169,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,171,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,172,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,173,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,176,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,177,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,180,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,181,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,189,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,191,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,193,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,197,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,202,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,204,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,205,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,208,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,209,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,213,Individual,,,,,,,,,,,,,,
