birthPlaceCountry,countryofResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,,,1,,,,,,,,US,,,0,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,3,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,8,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,9,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,17,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,20,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,21,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,24,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,25,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,27,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,28,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,29,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,30,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,31,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,34,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,35,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,39,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,40,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,41,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,42,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,43,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,46,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,51,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,52,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,55,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,57,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,61,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,64,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,65,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,67,Individual,,,,,,,,,,,,,,
