alert_id,alert_type,is_sar,tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp
6,fan_in,True,20,3165,88,TRANSFER,947.26,2017-01-01T00:00:00Z
3,fan_in,True,62,1348,69,TRANSFER,587.7,2017-01-01T00:00:00Z
7,fan_in,True,178,5902,37,TRANSFER,250.38,2017-01-01T00:00:00Z
8,fan_out,True,378,31,4227,TRANSFER,460.65,2017-01-02T00:00:00Z
2,fan_in,True,584,5744,123,TRANSFER,672.4,2017-01-02T00:00:00Z
4,fan_in,True,644,3953,180,TRANSFER,810.04,2017-01-02T00:00:00Z
1,fan_in,True,950,5396,25,TRANSFER,378.87,2017-01-03T00:00:00Z
0,fan_in,True,1292,5180,108,TRANSFER,336.16,2017-01-04T00:00:00Z
5,fan_in,True,1489,5691,74,TRANSFER,604.3,2017-01-05T00:00:00Z
9,fan_out,True,1926,181,4551,TRANSFER,615.58,2017-01-06T00:00:00Z
10,fan_out,True,2012,49,1626,TRANSFER,553.24,2017-01-07T00:00:00Z
7,fan_in,True,2374,1262,37,TRANSFER,786.41,2017-01-08T00:00:00Z
4,fan_in,True,3173,5580,180,TRANSFER,226.93,2017-01-10T00:00:00Z
8,fan_out,True,3455,31,3131,TRANSFER,109.85,2017-01-11T00:00:00Z
13,fan_out,True,4080,128,3359,TRANSFER,235.85,2017-01-13T00:00:00Z
7,fan_in,True,4607,7116,37,TRANSFER,405.25,2017-01-15T00:00:00Z
4,fan_in,True,5650,4496,180,TRANSFER,559.39,2017-01-18T00:00:00Z
33,cycle,True,6505,142,3515,TRANSFER,605.66,2017-01-20T00:00:00Z
9,fan_out,True,6834,181,3402,TRANSFER,148.12,2017-01-21T00:00:00Z
15,fan_out,True,6990,153,1643,TRANSFER,701.37,2017-01-22T00:00:00Z
7,fan_in,True,7134,1345,37,TRANSFER,636.38,2017-01-22T00:00:00Z
10,fan_out,True,7408,49,6044,TRANSFER,809.61,2017-01-23T00:00:00Z
33,cycle,True,7589,3658,4173,TRANSFER,676.17,2017-01-24T00:00:00Z
33,cycle,True,7590,4173,4803,TRANSFER,504.35,2017-01-24T00:00:00Z
6,fan_in,True,8179,2544,88,TRANSFER,172.23,2017-01-25T00:00:00Z
4,fan_in,True,8229,3544,180,TRANSFER,911.94,2017-01-26T00:00:00Z
3,fan_in,True,8641,3928,69,TRANSFER,633.98,2017-01-27T00:00:00Z
10,fan_out,True,8973,49,2269,TRANSFER,142.43,2017-01-28T00:00:00Z
33,cycle,True,9202,4803,3853,TRANSFER,312.68,2017-01-29T00:00:00Z
7,fan_in,True,9329,2898,37,TRANSFER,391.13,2017-01-29T00:00:00Z
33,cycle,True,9997,3853,142,TRANSFER,998.81,2017-01-31T00:00:00Z
33,cycle,True,10412,1369,3658,TRANSFER,873.68,2017-02-01T00:00:00Z
33,cycle,True,10842,3515,1369,TRANSFER,134.01,2017-02-02T00:00:00Z
4,fan_in,True,10992,4194,180,TRANSFER,789.85,2017-02-03T00:00:00Z
7,fan_in,True,11749,6389,37,TRANSFER,595.85,2017-02-05T00:00:00Z
4,fan_in,True,13779,5431,180,TRANSFER,322.52,2017-02-11T00:00:00Z
11,fan_out,True,14506,143,3248,TRANSFER,994.01,2017-02-14T00:00:00Z
5,fan_in,True,14658,4403,74,TRANSFER,113.93,2017-02-14T00:00:00Z
6,fan_in,True,15961,7843,88,TRANSFER,803.53,2017-02-18T00:00:00Z
36,cycle,True,16166,109,3368,TRANSFER,844.23,2017-02-19T00:00:00Z
36,cycle,True,16167,7285,1725,TRANSFER,666.71,2017-02-19T00:00:00Z
2,fan_in,True,16596,1599,123,TRANSFER,120.63,2017-02-20T00:00:00Z
36,cycle,True,17080,6151,109,TRANSFER,850.19,2017-02-22T00:00:00Z
3,fan_in,True,17335,2790,69,TRANSFER,333.21,2017-02-22T00:00:00Z
36,cycle,True,18144,1725,7569,TRANSFER,570.47,2017-02-25T00:00:00Z
15,fan_out,True,18170,153,6565,TRANSFER,827.62,2017-02-25T00:00:00Z
36,cycle,True,19244,7845,6151,TRANSFER,220.17,2017-02-28T00:00:00Z
43,scatter_gather,True,19583,7677,6130,TRANSFER,243.71,2017-03-01T00:00:00Z
43,scatter_gather,True,19584,7677,4701,TRANSFER,783.7,2017-03-01T00:00:00Z
14,fan_out,True,19841,48,1675,TRANSFER,129.21,2017-03-02T00:00:00Z
43,scatter_gather,True,20597,7677,1317,TRANSFER,811.9,2017-03-04T00:00:00Z
43,scatter_gather,True,20825,7677,6000,TRANSFER,693.53,2017-03-05T00:00:00Z
43,scatter_gather,True,20826,7677,2180,TRANSFER,465.31,2017-03-05T00:00:00Z
43,scatter_gather,True,21129,7677,4465,TRANSFER,230.39,2017-03-06T00:00:00Z
43,scatter_gather,True,21337,7677,6749,TRANSFER,188.39,2017-03-07T00:00:00Z
36,cycle,True,21559,7569,7845,TRANSFER,498.74,2017-03-07T00:00:00Z
36,cycle,True,21910,3368,7285,TRANSFER,993.01,2017-03-08T00:00:00Z
10,fan_out,True,22354,49,6131,TRANSFER,929.17,2017-03-10T00:00:00Z
43,scatter_gather,True,22535,1317,7337,TRANSFER,819.31,2017-03-10T00:00:00Z
43,scatter_gather,True,23203,4465,7337,TRANSFER,283.17,2017-03-12T00:00:00Z
43,scatter_gather,True,23204,6000,7337,TRANSFER,586.95,2017-03-12T00:00:00Z
43,scatter_gather,True,23205,6749,7337,TRANSFER,847.14,2017-03-12T00:00:00Z
6,fan_in,True,23665,937,88,TRANSFER,238.45,2017-03-14T00:00:00Z
43,scatter_gather,True,23749,2180,7337,TRANSFER,543.57,2017-03-14T00:00:00Z
43,scatter_gather,True,24201,4701,7337,TRANSFER,505.15,2017-03-15T00:00:00Z
43,scatter_gather,True,24323,6130,7337,TRANSFER,280.17,2017-03-16T00:00:00Z
13,fan_out,True,24452,128,7478,TRANSFER,511.99,2017-03-16T00:00:00Z
14,fan_out,True,24836,48,3141,TRANSFER,527.9,2017-03-17T00:00:00Z
10,fan_out,True,25298,49,7522,TRANSFER,974.12,2017-03-19T00:00:00Z
3,fan_in,True,25541,5000,69,TRANSFER,997.09,2017-03-20T00:00:00Z
15,fan_out,True,26520,153,3087,TRANSFER,612.15,2017-03-22T00:00:00Z
5,fan_in,True,27596,7777,74,TRANSFER,614.64,2017-03-26T00:00:00Z
1,fan_in,True,27888,5055,25,TRANSFER,113.51,2017-03-27T00:00:00Z
10,fan_out,True,28018,49,1303,TRANSFER,294.84,2017-03-27T00:00:00Z
10,fan_out,True,28377,49,325,TRANSFER,238.44,2017-03-28T00:00:00Z
6,fan_in,True,31449,1323,88,TRANSFER,467.56,2017-04-07T00:00:00Z
2,fan_in,True,32517,7816,123,TRANSFER,536.93,2017-04-10T00:00:00Z
3,fan_in,True,34064,1007,69,TRANSFER,829.94,2017-04-15T00:00:00Z
8,fan_out,True,36526,31,5196,TRANSFER,960.67,2017-04-22T00:00:00Z
13,fan_out,True,38802,128,7484,TRANSFER,211.12,2017-04-29T00:00:00Z
6,fan_in,True,39409,1860,88,TRANSFER,251.18,2017-05-01T00:00:00Z
12,fan_out,True,41298,144,5261,TRANSFER,475.09,2017-05-07T00:00:00Z
9,fan_out,True,42648,181,4099,TRANSFER,911.66,2017-05-11T00:00:00Z
13,fan_out,True,42850,128,4699,TRANSFER,200.71,2017-05-11T00:00:00Z
3,fan_in,True,42919,3410,69,TRANSFER,583.47,2017-05-11T00:00:00Z
8,fan_out,True,44841,31,6245,TRANSFER,481.56,2017-05-17T00:00:00Z
15,fan_out,True,45677,153,4206,TRANSFER,192.91,2017-05-20T00:00:00Z
42,scatter_gather,True,45823,3822,6304,TRANSFER,894.73,2017-05-20T00:00:00Z
42,scatter_gather,True,45824,3822,5173,TRANSFER,129.83,2017-05-20T00:00:00Z
42,scatter_gather,True,45825,3822,5682,TRANSFER,218.38,2017-05-20T00:00:00Z
42,scatter_gather,True,45826,3822,4252,TRANSFER,742.99,2017-05-20T00:00:00Z
42,scatter_gather,True,45827,3822,5684,TRANSFER,237.63,2017-05-20T00:00:00Z
42,scatter_gather,True,46338,3822,4402,TRANSFER,317.95,2017-05-22T00:00:00Z
42,scatter_gather,True,46339,3822,2265,TRANSFER,883.86,2017-05-22T00:00:00Z
42,scatter_gather,True,46340,3822,7904,TRANSFER,196.7,2017-05-22T00:00:00Z
42,scatter_gather,True,46341,3822,2581,TRANSFER,901.45,2017-05-22T00:00:00Z
42,scatter_gather,True,46621,3822,7539,TRANSFER,698.84,2017-05-23T00:00:00Z
42,scatter_gather,True,46622,3822,6081,TRANSFER,635.01,2017-05-23T00:00:00Z
42,scatter_gather,True,47181,5173,603,TRANSFER,751.64,2017-05-25T00:00:00Z
